Epoch,TrainLoss,ValLoss,ValAcc

1,3.7451442266460013,1.319541372702672,0.7944

2,1.6000975602495986,1.0872733764923537,0.8473

3,1.0671186913958692,1.412484212105091,0.8010

4,0.8046425038998106,1.2895088580938485,0.8196

5,0.6175186636701094,0.512971164056888,0.8985

6,0.48005739360454336,0.43857166033524736,0.9134

7,0.37844701996485214,0.41679479863781194,0.9158

8,0.35141347911604476,0.32956472125190955,0.9252

9,0.32306357029726546,0.415448919741007,0.9257

10,0.30789713186945405,0.4408585293934895,0.9180

